"sex","sport","test","metric","n","mass_dep","Linear","NO","BCT","Best"
"Female","Badminton","CMJ","JumpHeight",37,FALSE,0.417,0.432,0.424,"Linear"
"Female","Badminton","CMJ","PeakPower_BM",37,FALSE,0.506,0.521,0.511,"Linear"
"Female","Badminton","CMJ","mRSI",37,FALSE,0.385,0.405,0.379,"BCT"
"Female","Football","CMJ","JumpHeight",82,FALSE,0.505,0.505,0.498,"BCT"
"Female","Football","CMJ","PeakPower_BM",82,FALSE,0.399,0.402,0.399,"BCT"
"Female","Football","CMJ","mRSI",82,FALSE,0.466,0.477,0.475,"Linear"
"Male","Badminton","CMJ","JumpHeight",85,FALSE,0.342,0.335,0.337,"NO"
"Male","Badminton","CMJ","PeakPower_BM",85,FALSE,0.359,0.364,0.332,"BCT"
"Male","Badminton","CMJ","mRSI",85,FALSE,0.452,0.464,0.454,"Linear"
"Male","Basketball","CMJ","JumpHeight",73,FALSE,0.4,0.401,0.396,"BCT"
"Male","Basketball","CMJ","PeakPower_BM",73,FALSE,0.477,0.477,0.475,"BCT"
"Male","Basketball","CMJ","mRSI",73,FALSE,0.467,0.458,0.459,"NO"
"Male","Cricket","CMJ","JumpHeight",46,FALSE,0.475,0.515,0.487,"Linear"
"Male","Cricket","CMJ","PeakPower_BM",46,FALSE,0.437,0.457,0.471,"Linear"
"Male","Cricket","CMJ","mRSI",46,FALSE,0.448,0.466,0.441,"BCT"
"Male","Football","CMJ","JumpHeight",333,FALSE,0.283,0.283,0.28,"BCT"
"Male","Football","CMJ","PeakPower_BM",333,FALSE,0.406,0.411,0.406,"BCT"
"Male","Football","CMJ","mRSI",333,FALSE,0.247,0.251,0.257,"Linear"
"Male","Swimming","CMJ","JumpHeight",27,FALSE,0.333,0.348,0.361,"Linear"
"Male","Swimming","CMJ","PeakPower_BM",27,FALSE,0.387,0.397,0.401,"Linear"
"Male","Swimming","CMJ","mRSI",27,FALSE,0.462,0.478,0.491,"Linear"
"Male","Track and Field","CMJ","JumpHeight",29,FALSE,0.276,0.922,0.25,"BCT"
"Male","Track and Field","CMJ","PeakPower_BM",29,FALSE,0.375,0.617,0.388,"Linear"
"Male","Track and Field","CMJ","mRSI",29,FALSE,0.435,0.656,0.463,"Linear"
"Female","Badminton","DJ","RSI_FTCT",33,FALSE,0.479,0.505,0.446,"BCT"
"Female","Badminton","DJ","ContactTime",33,FALSE,0.363,0.358,0.353,"BCT"
"Female","Badminton","DJ","JumpHeight",33,FALSE,0.359,0.368,0.357,"BCT"
"Female","Football","DJ","RSI_FTCT",71,FALSE,0.401,0.409,0.396,"BCT"
"Female","Football","DJ","ContactTime",71,FALSE,0.455,0.457,0.463,"Linear"
"Female","Football","DJ","JumpHeight",71,FALSE,0.489,0.481,0.452,"BCT"
"Male","Badminton","DJ","RSI_FTCT",25,FALSE,0.418,0.423,0.412,"BCT"
"Male","Badminton","DJ","ContactTime",25,FALSE,0.408,0.41,0.421,"Linear"
"Male","Badminton","DJ","JumpHeight",25,FALSE,0.373,0.366,0.374,"NO"
"Male","Cricket","DJ","RSI_FTCT",31,FALSE,0.381,0.413,0.421,"Linear"
"Male","Cricket","DJ","ContactTime",31,FALSE,0.446,0.474,0.504,"Linear"
"Male","Cricket","DJ","JumpHeight",31,FALSE,0.48,0.413,0.371,"BCT"
"Male","Football","DJ","RSI_FTCT",328,FALSE,0.414,0.416,0.413,"BCT"
"Male","Football","DJ","ContactTime",328,FALSE,0.386,0.391,0.387,"Linear"
"Male","Football","DJ","JumpHeight",328,FALSE,0.297,0.3,0.298,"Linear"
"Male","Football","SJ","JumpHeight",188,FALSE,0.158,0.455,0.121,"BCT"
"Male","Football","SJ","PeakPower_BM",188,FALSE,0.418,0.417,0.418,"NO"
"Male","Football","SJ","ConcMF_BM",188,FALSE,0.253,0.237,0.238,"NO"
"Female","Football","SLJ","ConcImp_R",66,TRUE,0.366,0.479,0.427,"Linear"
"Female","Football","SLJ","ConcImp_L",65,TRUE,0.354,0.433,0.372,"Linear"
"Female","Football","SLJ","ConcMF_R",66,TRUE,0.341,0.545,0.297,"BCT"
"Female","Football","SLJ","ConcMF_L",65,TRUE,0.328,0.524,0.321,"BCT"
"Male","Football","SLJ","ConcImp_R",306,TRUE,0.181,0.247,0.186,"Linear"
"Male","Football","SLJ","ConcImp_L",304,TRUE,0.186,0.248,0.193,"Linear"
"Male","Football","SLJ","ConcMF_R",306,TRUE,0.163,0.274,0.158,"BCT"
"Male","Football","SLJ","ConcMF_L",304,TRUE,0.163,0.255,0.156,"BCT"
"Male","Swimming","SLJ","ConcImp_R",26,TRUE,0.434,0.416,0.44,"NO"
"Male","Swimming","SLJ","ConcImp_L",25,TRUE,0.4,0.321,0.429,"NO"
"Male","Swimming","SLJ","ConcMF_R",26,TRUE,0.386,0.391,0.656,"Linear"
"Male","Swimming","SLJ","ConcMF_L",25,TRUE,0.459,0.397,0.504,"NO"
"Female","Football","SLDJ","ConcImp_R",55,TRUE,0.481,0.513,0.431,"BCT"
"Female","Football","SLDJ","ConcImp_L",55,TRUE,0.443,0.444,0.414,"BCT"
"Female","Football","SLDJ","MeanLandPow_R",55,TRUE,0.392,0.537,0.374,"BCT"
"Female","Football","SLDJ","MeanLandPow_L",55,TRUE,0.378,0.56,0.389,"Linear"
"Male","Football","SLDJ","ConcImp_R",156,TRUE,0.162,0.22,0.183,"Linear"
"Male","Football","SLDJ","ConcImp_L",155,TRUE,0.166,0.225,0.171,"Linear"
"Male","Football","SLDJ","MeanLandPow_R",156,TRUE,0.243,0.273,0.256,"Linear"
"Male","Football","SLDJ","MeanLandPow_L",155,TRUE,0.309,0.329,0.309,"Linear"
"Female","Football","SLLAH","DropLand_R",63,TRUE,0.372,0.376,0.37,"BCT"
"Female","Football","SLLAH","DropLand_L",63,TRUE,0.416,0.417,0.388,"BCT"
"Female","Football","SLLAH","PeakDLF_R",63,TRUE,0.361,0.411,0.355,"BCT"
"Male","Cricket","SLLAH","DropLand_R",25,TRUE,0.492,0.459,0.478,"NO"
"Male","Cricket","SLLAH","DropLand_L",25,TRUE,0.563,0.515,2.85,"NO"
"Male","Cricket","SLLAH","PeakDLF_R",25,TRUE,0.334,0.389,0.385,"Linear"
"Male","Football","SLLAH","DropLand_R",225,TRUE,0.344,0.355,0.358,"Linear"
"Male","Football","SLLAH","DropLand_L",222,TRUE,0.381,0.388,0.39,"Linear"
"Male","Football","SLLAH","PeakDLF_R",225,TRUE,0.364,0.375,0.364,"BCT"
"Female","Badminton","SLHAR","PeakTakeoffF_R",30,TRUE,0.387,0.55,0.398,"Linear"
"Female","Badminton","SLHAR","PeakTakeoffF_L",30,TRUE,0.385,0.713,0.411,"Linear"
"Female","Badminton","SLHAR","PeakLandF_R",30,TRUE,0.428,0.563,0.5,"Linear"
"Female","Badminton","SLHAR","PeakLandF_L",30,TRUE,0.328,0.424,0.394,"Linear"
"Female","Football","SLHAR","PeakTakeoffF_R",54,TRUE,0.192,0.439,0.195,"Linear"
"Female","Football","SLHAR","PeakTakeoffF_L",55,TRUE,0.263,0.515,0.322,"Linear"
"Female","Football","SLHAR","PeakLandF_R",54,TRUE,0.224,0.546,0.242,"Linear"
"Female","Football","SLHAR","PeakLandF_L",55,TRUE,0.337,0.562,0.381,"Linear"
"Male","Football","SLHAR","PeakTakeoffF_R",163,TRUE,0.151,0.221,0.159,"Linear"
"Male","Football","SLHAR","PeakTakeoffF_L",165,TRUE,0.162,0.203,0.175,"Linear"
"Male","Football","SLHAR","PeakLandF_R",163,TRUE,0.165,0.225,0.165,"Linear"
"Male","Football","SLHAR","PeakLandF_L",165,TRUE,0.167,0.217,0.185,"Linear"
